Ch1 Amplitude,Ch2 Amplitude,Cluster
-47.0934868,681.022461,1
-46.4871979,694.2494,1
-44.0723419,700.5039,1
-42.9708252,795.8976,1
-42.0740433,683.6278,1
-39.4375458,652.1722,1
-38.9621353,714.4398,1
-38.10413,810.6805,1
-38.0573578,676.2424,1
-37.34137,715.9238,1
-37.26881,730.0496,1
-36.8558655,649.3989,1
-35.73233,773.0081,1
-35.430088,669.6146,1
-35.3050957,655.939941,1
-35.2267036,740.93,1
-34.31078,660.666748,1
-34.0737152,690.4492,1
-34.0225639,670.474,1
-33.72523,673.188,1
-33.0427856,631.744934,1
-32.62612,633.4535,1
-32.5556374,695.4544,1
-32.55497,691.5156,1
-32.451355,701.267456,1
-32.2694054,659.7033,1
-32.26341,624.947937,1
-31.6613331,685.8008,1
-31.6432247,667.1335,1
-31.21653,686.4176,1
-31.2149734,690.498535,1
-30.8649349,709.7948,1
-30.7930069,692.1976,1
-30.7108536,653.270569,1
-30.6240349,681.4793,1
-30.4291649,721.917,1
-30.0207424,670.2621,1
-29.8819027,630.3057,1
-29.8739719,780.572632,1
-29.6702881,704.34314,1
-29.48306,673.9742,1
-29.3835812,715.5267,1
-29.2797127,648.989746,1
-29.2025986,704.1367,1
-29.18212,729.6888,1
-29.0808372,702.9847,1
-28.7571526,664.0412,1
-28.3875351,675.523743,1
-28.3246174,644.611633,1
-28.2893982,641.9949,1
-28.2273159,691.39386,1
-28.1462688,691.096,1
-28.1193275,738.7768,1
-28.0350933,651.9751,1
-28.0251522,704.1543,1
-27.8620319,674.9833,1
-27.6882439,631.3735,1
-27.6543674,632.678162,1
-27.54439,701.7181,1
-27.4106655,671.9243,1
-27.2491379,671.422241,1
-26.97159,615.796753,1
-26.9424267,714.790344,1
-26.8540058,693.977966,1
-26.8316212,662.8381,1
-26.7229977,651.9386,1
-26.56594,649.108765,1
-26.4245758,701.611145,1
-26.4169235,680.806,1
-26.3956623,652.955444,1
-26.27838,682.007141,1
-26.20631,648.2473,1
-26.145937,668.3324,1
-26.0223465,698.610046,1
-26.0144081,691.9418,1
-25.9218559,680.6674,1
-25.8611717,621.8545,1
-25.7849846,654.4159,1
-25.78082,652.6445,1
-25.6373615,634.563965,1
-25.6244125,652.712036,1
-25.618536,701.3328,1
-25.4687729,682.170837,1
-25.4587765,643.2866,1
-25.3879166,651.1081,1
-25.2921219,667.306335,1
-25.2237949,736.6791,1
-25.1391449,694.5596,1
-25.1243362,644.3473,1
-25.0948067,683.657959,1
-25.089222,703.4068,1
-25.02541,685.979,1
-25.004076,663.573364,1
-24.7888889,604.650452,1
-24.750103,685.7107,1
-24.694231,708.5909,1
-24.5503044,676.465332,1
-24.5025845,664.5172,1
-24.461092,638.669434,1
-24.4282513,671.8892,1
-24.4039822,704.6533,1
-24.3790932,663.8153,1
-24.3497963,727.682251,1
-24.3470783,655.075562,1
-24.2782726,704.244751,1
-24.2223034,699.4341,1
-24.0348835,666.4211,1
-24.0268764,741.7201,1
-24.0084553,695.015747,1
-23.9361324,695.343,1
-23.9339771,732.0598,1
-23.9206581,656.8102,1
-23.8126678,685.0954,1
-23.7838917,703.0941,1
-23.7766056,683.0015,1
-23.7299786,704.57605,1
-23.7024078,610.38855,1
-23.6881065,662.8017,1
-23.6345654,665.031738,1
-23.565546,681.784546,1
-23.40513,730.1702,1
-23.3985119,674.612732,1
-23.3032875,703.806763,1
-23.2520485,646.429443,1
-23.2109222,709.272,1
-23.1290359,701.5152,1
-23.1125965,610.986755,1
-23.0981426,666.069946,1
-22.9615784,699.5651,1
-22.8843975,641.2053,1
-22.85526,685.6057,1
-22.7634487,639.3756,1
-22.5214939,623.022,1
-22.4665737,623.4645,1
-22.43332,707.909668,1
-22.42425,757.185059,1
-22.4217281,690.5934,1
-22.39616,646.8258,1
-22.3873768,719.8832,1
-22.3811874,634.055664,1
-22.3467636,642.2185,1
-22.3453655,702.8399,1
-22.251749,642.366,1
-22.24167,692.83905,1
-22.2399158,701.825256,1
-22.1262684,696.0658,1
-22.0580273,726.97345,1
-21.99464,719.730042,1
-21.9469166,673.7414,1
-21.9096622,695.453,1
-21.8436871,648.548157,1
-21.7892761,644.9637,1
-21.7541428,699.3668,1
-21.7489452,710.769531,1
-21.6699562,664.603333,1
-21.61466,675.9801,1
-21.5791016,649.693,1
-21.5656433,659.444458,1
-21.5588055,638.6411,1
-21.5302677,665.990967,1
-21.4708176,702.0537,1
-21.46965,693.1456,1
-21.3879681,649.7993,1
-21.3550854,671.11676,1
-21.2567825,660.125061,1
-21.2101822,654.1829,1
-21.1948776,621.305359,1
-21.1664352,714.641235,1
-21.0939388,689.6808,1
-21.0328445,733.157349,1
-21.0261059,665.459351,1
-20.9788742,621.1784,1
-20.8789539,747.0693,1
-20.85192,625.3019,1
-20.8138161,667.319153,1
-20.70987,677.550842,1
-20.7032242,712.9696,1
-20.70244,715.868042,1
-20.6837044,658.2683,1
-20.6339321,767.320557,1
-20.63029,699.3724,1
-20.55786,703.8386,1
-20.5439911,679.590942,1
-20.44605,642.5175,1
-20.4348164,619.1519,1
-20.4312325,735.013367,1
-20.3367424,671.766846,1
-20.31537,659.3449,1
-20.3094711,667.6078,1
-20.3045216,704.6282,1
-20.2225666,745.4195,1
-20.1260319,619.88916,1
-20.0665,655.913452,1
-20.033289,645.7147,1
-20.0310783,735.061768,1
-20.0268364,689.5844,1
-19.9869614,638.614746,1
-19.974081,647.3714,1
-19.9087543,657.379761,1
-19.884985,639.3212,1
-19.8596077,716.2594,1
-19.842041,698.3914,1
-19.8299828,688.626953,1
-19.8010216,703.5898,1
-19.7699223,669.5888,1
-19.759634,737.8758,1
-19.7505112,650.4177,1
-19.7494144,652.1272,1
-19.7309742,633.6217,1
-19.70079,625.7733,1
-19.6962967,666.3569,1
-19.6954956,687.6121,1
-19.6292934,659.768433,1
-19.4999676,663.4567,1
-19.458601,662.7336,1
-19.4528828,655.868042,1
-19.4125786,764.8152,1
-19.3528423,665.9039,1
-19.346489,677.4346,1
-19.3405857,605.3513,1
-19.2622948,687.5454,1
-19.24693,655.2025,1
-19.1817513,643.2499,1
-19.1292362,643.46,1
-19.0789337,610.198364,1
-19.029747,738.8414,1
-19.0245438,645.4977,1
-19.01422,691.940735,1
-18.9956055,633.9562,1
-18.9738483,615.9504,1
-18.9567547,755.3822,1
-18.9446239,630.6937,1
-18.8579483,703.5463,1
-18.80211,698.3582,1
-18.8018723,671.334839,1
-18.7585487,740.1857,1
-18.7141552,733.162537,1
-18.7133045,683.957031,1
-18.7046928,634.470642,1
-18.671524,650.656738,1
-18.5596523,624.619751,1
-18.53533,687.755,1
-18.5269222,655.9183,1
-18.5084667,612.496765,1
-18.4923878,689.95166,1
-18.48463,678.518433,1
-18.42728,664.628357,1
-18.4019756,761.8124,1
-18.3932629,590.094238,1
-18.3853645,700.631836,1
-18.37172,698.236938,1
-18.3571911,683.3222,1
-18.3367252,648.3376,1
-18.3289146,674.190552,1
-18.31883,694.3957,1
-18.2759933,656.8782,1
-18.26569,675.5509,1
-18.2615662,697.7011,1
-18.2553177,727.891846,1
-18.2496681,660.0796,1
-18.2346,700.995056,1
-18.2339211,654.831238,1
-18.1941662,691.7588,1
-18.11577,667.53894,1
-18.09517,676.873047,1
-18.0702324,691.2308,1
-18.0645542,707.7713,1
-18.0248718,641.671753,1
-18.0248547,638.7489,1
-18.0151749,626.8393,1
-17.9193,670.0404,1
-17.90866,607.158142,1
-17.89056,700.9411,1
-17.83985,675.995544,1
-17.8395767,700.3233,1
-17.8235645,711.845154,1
-17.8168316,670.8205,1
-17.8143616,696.4048,1
-17.8009567,650.0686,1
-17.7708836,673.380737,1
-17.7428532,647.8029,1
-17.7350636,727.035645,1
-17.7099667,704.522,1
-17.6542645,701.91925,1
-17.6540051,678.031555,1
-17.6486645,672.0016,1
-17.643671,645.9594,1
-17.6375847,698.7259,1
-17.5299339,725.7748,1
-17.4662361,640.013245,1
-17.45967,660.8082,1
-17.4311485,705.57135,1
-17.38352,625.2125,1
-17.3654175,688.2268,1
-17.3555756,673.124634,1
-17.3338718,661.0062,1
-17.3307648,664.01825,1
-17.3282719,595.157959,1
-17.2828522,727.7673,1
-17.2708054,660.700745,1
-17.2421474,623.2243,1
-17.2338,680.1363,1
-17.2324543,690.129333,1
-17.2219162,650.3837,1
-17.19691,769.8563,1
-17.1383533,645.871033,1
-17.0879326,664.7696,1
-17.0684566,698.507,1
-17.0487976,669.878235,1
-17.0310555,637.593262,1
-17.025135,683.1353,1
-17.0037937,696.6568,1
-16.8849487,662.6907,1
-16.8693256,707.5226,1
-16.8621178,663.4363,1
-16.8251934,650.372253,1
-16.8127,731.306335,1
-16.7969856,674.8016,1
-16.78959,657.304565,1
-16.7326832,642.6843,1
-16.6975861,708.064,1
-16.6964283,698.1245,1
-16.6898651,659.7905,1
-16.63615,658.7667,1
-16.57717,636.751343,1
-16.570179,654.3948,1
-16.5534439,617.4022,1
-16.549139,638.204834,1
-16.4930725,714.1261,1
-16.47552,616.437866,1
-16.460041,662.030334,1
-16.395237,624.984436,1
-16.3889084,669.5929,1
-16.3317623,727.7816,1
-16.3157711,641.525,1
-16.287159,691.4869,1
-16.2513046,693.169434,1
-16.20483,673.715,1
-16.19721,679.572449,1
-16.16725,633.847839,1
-16.1248455,618.6693,1
-16.10969,658.3779,1
-16.0818939,704.6156,1
-16.0775681,658.6698,1
-16.0414371,617.9293,1
-16.03731,671.093445,1
-15.9981012,652.197754,1
-15.9888115,735.0425,1
-15.9629,700.476746,1
-15.9508772,624.1497,1
-15.9445486,721.734863,1
-15.9395971,631.497,1
-15.9253139,681.716,1
-15.9191074,667.567566,1
-15.88272,638.956,1
-15.8586264,722.3588,1
-15.8502169,677.121643,1
-15.7535372,663.464355,1
-15.7522783,707.0143,1
-15.73524,711.864,1
-15.7029581,665.5676,1
-15.6867895,675.140259,1
-15.63029,639.3653,1
-15.5941753,743.251831,1
-15.59133,718.574158,1
-15.5835724,714.8879,1
-15.5753632,679.001953,1
-15.5105343,627.3763,1
-15.4944048,669.6398,1
-15.4738283,739.658936,1
-15.4732971,700.4074,1
-15.4632931,675.480164,1
-15.4492445,723.6088,1
-15.4291363,629.947632,1
-15.417016,601.2728,1
-15.4161081,635.2242,1
-15.4125128,695.3899,1
-15.407774,667.9195,1
-15.3435144,729.391846,1
-15.288682,707.708,1
-15.2697906,627.105042,1
-15.26542,665.158264,1
-15.2244463,664.0622,1
-15.222764,612.906555,1
-15.21188,692.394653,1
-15.1838779,700.5438,1
-15.180377,668.5797,1
-15.1502666,764.1918,1
-15.1500807,680.7624,1
-15.1134768,645.7215,1
-15.01264,745.5406,1
-14.9571686,666.217346,1
-14.93991,724.0347,1
-14.9386225,667.1202,1
-14.9368734,670.765747,1
-14.9323406,666.953369,1
-14.9047794,655.786255,1
-14.86014,647.5962,1
-14.8472862,617.643,1
-14.8164253,694.224854,1
-14.808033,660.684,1
-14.7723465,669.1086,1
-14.7685747,696.907654,1
-14.7274446,658.1891,1
-14.7229824,689.4805,1
-14.6945524,707.9395,1
-14.6918459,681.2538,1
-14.6343069,699.8173,1
-14.6261415,662.770142,1
-14.6219673,696.544067,1
-14.5812769,652.8048,1
-14.5629292,634.8927,1
-14.5414381,615.279,1
-14.5072908,734.3665,1
-14.4933491,675.591431,1
-14.49005,646.106567,1
