Ch1 Amplitude,Ch2 Amplitude,Cluster
-43.2845268,676.3443,1
-42.8153877,619.154968,1
-41.19631,644.8093,1
-39.8063126,721.410461,1
-34.9864769,635.6403,1
-34.6709137,689.272156,1
-34.5941277,693.536743,1
-34.22078,645.671265,1
-34.1368675,689.5969,1
-33.56634,652.7009,1
-33.4765625,652.6103,1
-32.26979,658.1267,1
-32.1677742,682.5686,1
-31.8683662,703.590454,1
-31.82924,658.0844,1
-31.66251,649.0692,1
-31.0879173,705.225952,1
-30.8125439,651.2929,1
-30.7469769,639.512756,1
-30.2896461,690.519958,1
-30.2356014,660.3298,1
-30.04393,676.7566,1
-29.9274445,673.148438,1
-29.8553276,699.2627,1
-29.77935,706.2104,1
-29.7189236,649.3468,1
-29.6622124,661.3008,1
-29.57746,766.5559,1
-29.4963837,721.9448,1
-29.4771214,687.4073,1
-29.1306725,631.000854,1
-28.8368664,700.9945,1
-28.8328781,686.992249,1
-28.8316135,688.5802,1
-28.3878078,679.023743,1
-28.2906342,659.034241,1
-28.2093983,748.1069,1
-28.11087,621.4682,1
-27.728878,621.203064,1
-27.688406,621.5318,1
-27.6778183,648.6739,1
-27.6126785,723.8124,1
-27.4037228,800.2662,1
-27.2018337,663.4383,1
-27.0883389,711.5584,1
-27.0466976,744.029,1
-26.9833984,685.059143,1
-26.787096,619.9483,1
-26.716711,642.1119,1
-26.6461411,634.169861,1
-26.5962772,684.3171,1
-26.58058,627.8286,1
-26.4461861,658.763855,1
-26.2146759,662.6642,1
-25.9467945,680.5384,1
-25.9313946,657.245239,1
-25.8237438,655.053955,1
-25.8203545,654.315063,1
-25.4150887,632.4382,1
-25.24396,682.0768,1
-25.1789227,645.562439,1
-25.11397,632.6205,1
-25.0512066,650.693542,1
-24.9657021,664.683655,1
-24.5256367,646.0993,1
-24.5241528,651.1417,1
-24.3731747,693.995667,1
-24.33621,765.5545,1
-24.3028564,650.814758,1
-24.2296314,673.4468,1
-24.1558666,655.328735,1
-24.1093616,644.7356,1
-24.0581436,678.9236,1
-24.02151,672.3199,1
-24.0177422,598.5067,1
-23.9593868,677.0723,1
-23.8906746,656.161865,1
-23.84481,650.017456,1
-23.712244,625.006958,1
-23.7069283,577.0273,1
-23.6795959,692.092468,1
-23.5349312,686.9233,1
-23.3416653,623.6473,1
-23.3118248,626.292969,1
-23.1143723,724.3694,1
-23.02971,652.8229,1
-22.9980335,699.730835,1
-22.8289146,647.9805,1
-22.8278179,629.780762,1
-22.8185539,673.346,1
-22.7855,636.156738,1
-22.7304115,693.0136,1
-22.6639938,699.128662,1
-22.6058178,643.171448,1
-22.4898739,652.9943,1
-22.2943211,646.306335,1
-22.2732735,643.0016,1
-22.2699947,631.69696,1
-22.1856937,716.3561,1
-22.14681,626.0494,1
-21.9382439,751.044556,1
-21.9058514,632.522461,1
-21.7743645,633.602539,1
-21.6211662,675.03064,1
-21.5973263,668.5459,1
-21.4189873,691.423035,1
-21.352417,644.96936,1
-21.3425121,690.8883,1
-21.2769279,728.1992,1
-21.179966,637.9331,1
-21.17372,668.779846,1
-21.16752,658.260254,1
-21.0694046,725.5605,1
-21.0631847,655.8668,1
-21.0386353,719.4785,1
-21.0357933,653.4101,1
-21.0162163,657.0962,1
-20.9714718,689.670654,1
-20.9565582,647.8867,1
-20.94839,655.174133,1
-20.67938,745.802856,1
-20.6251068,661.6918,1
-20.6055565,648.9339,1
-20.576252,670.378662,1
-20.49517,668.1396,1
-20.494751,609.943848,1
-20.4920616,695.241638,1
-20.488451,653.3292,1
-20.4055,674.9587,1
-20.4007187,710.8524,1
-20.3514118,680.6019,1
-20.2558746,745.2849,1
-20.2501984,686.198364,1
-20.2208939,613.925659,1
-20.0629826,662.0063,1
-20.0136852,675.492859,1
-20.0063229,681.647461,1
-19.9703541,710.197449,1
-19.9608879,648.7757,1
-19.928915,611.480652,1
-19.88581,710.402649,1
-19.8369579,646.560669,1
-19.8108635,617.0319,1
-19.7891426,608.2945,1
-19.7454739,674.0137,1
-19.6408081,645.300537,1
-19.6368313,672.8868,1
-19.6295223,639.402161,1
-19.5932446,639.5685,1
-19.5930138,667.045166,1
-19.54716,610.002747,1
-19.51454,700.287048,1
-19.4479675,642.755066,1
-19.10905,714.9749,1
-19.09751,628.8602,1
-19.0284061,602.3654,1
-18.9617081,602.93634,1
-18.9420242,680.4673,1
-18.914957,629.977966,1
-18.89221,682.8011,1
-18.8187523,639.272156,1
-18.7927818,665.6651,1
-18.7524357,666.2167,1
-18.7171021,632.1843,1
-18.6684742,597.9917,1
-18.6589088,616.5446,1
-18.62324,666.4287,1
-18.6013184,651.067932,1
-18.516634,725.8132,1
-18.4607887,585.4527,1
-18.4336529,641.1405,1
-18.3966465,645.997559,1
-18.3724728,642.4545,1
-18.3357773,663.486938,1
-18.3226223,623.0487,1
-18.3060989,656.808655,1
-18.2609863,617.3551,1
-18.2303,653.8402,1
-18.2296963,645.14325,1
-18.07332,657.7558,1
-18.0365372,633.9036,1
-17.9681377,598.9395,1
-17.9496918,653.897949,1
-17.94521,626.1374,1
-17.8980541,673.4929,1
-17.84898,599.2135,1
-17.81991,713.1995,1
-17.81712,742.099731,1
-17.7909145,669.471863,1
-17.7705116,674.1114,1
-17.7645512,570.952942,1
-17.7385387,651.057251,1
-17.5742512,586.277161,1
-17.5443687,619.0598,1
-17.5315533,639.0253,1
-17.5056744,681.363,1
-17.4354687,635.169067,1
-17.4306679,610.7128,1
-17.4298153,616.380066,1
-17.4006939,612.261536,1
-17.25321,683.607239,1
-17.2254066,671.209351,1
-17.0550652,613.9336,1
-17.0495453,634.0858,1
-17.0396347,592.614868,1
-17.03104,634.0827,1
-17.01207,613.517334,1
-16.9180984,643.878235,1
-16.9073124,677.479431,1
-16.9012585,691.4825,1
-16.8092422,658.3974,1
-16.7742271,682.3369,1
-16.7741489,682.7417,1
-16.7489834,649.1973,1
-16.7414627,620.346558,1
-16.6939,685.586365,1
-16.663908,663.3686,1
-16.6106644,648.3202,1
-16.5832882,671.943054,1
-16.5085526,713.93335,1
-16.5036049,645.794434,1
-16.4650459,614.2046,1
-16.4618454,610.30896,1
-16.41297,690.3966,1
-16.41114,721.744751,1
-16.393465,653.148,1
-16.3452644,655.8389,1
-16.32728,626.368042,1
-16.2812252,652.333557,1
-16.2427387,727.3601,1
-16.2279987,628.37384,1
-16.2128353,625.395752,1
-16.209713,700.592346,1
-16.2088184,692.2289,1
-16.1907063,631.5989,1
-16.1766834,597.8668,1
-16.1572285,570.5141,1
-16.1550941,682.713257,1
-16.1352177,592.141052,1
-16.1115074,689.973938,1
-16.07374,670.3205,1
-16.062706,663.4074,1
-15.9569492,617.2157,1
-15.8866825,634.333069,1
-15.8396788,696.092163,1
-15.7974491,600.7337,1
-15.7401762,728.7917,1
-15.7109661,687.371,1
-15.7067976,624.3745,1
-15.69828,642.040039,1
-15.6417646,602.217041,1
-15.5999641,645.5495,1
-15.5191851,640.728333,1
-15.50421,628.1563,1
-15.4840279,612.490234,1
-15.4551039,591.0679,1
-15.4547768,690.355469,1
-15.4522791,589.1612,1
-15.4339485,660.7206,1
-15.4094839,579.0853,1
-15.4057493,649.344,1
-15.3325558,667.277954,1
-15.291194,635.7328,1
-15.2713375,616.8536,1
-15.2313843,684.3995,1
-15.1864119,671.6856,1
-15.16605,626.569458,1
-15.163331,671.910034,1
-15.1496716,622.2471,1
