Ch1 Amplitude,Ch2 Amplitude,Cluster
-42.53243,758.752,1
-37.4217644,803.842834,1
-36.5133057,720.6207,1
-35.9110069,712.9737,1
-35.7434273,732.0205,1
-33.8588028,787.3835,1
-33.61998,732.9056,1
-33.2824631,763.329,1
-32.58013,716.1532,1
-31.7487659,769.8686,1
-31.4007225,783.4381,1
-31.0627213,695.5336,1
-30.3424911,743.249,1
-30.1062164,737.5103,1
-29.03123,775.7558,1
-28.5980072,704.3292,1
-28.4382534,757.3413,1
-28.1783237,731.476746,1
-28.03405,707.0149,1
-27.9274311,759.859253,1
-27.7316055,684.6251,1
-27.72704,793.7156,1
-27.4940758,738.3632,1
-27.4148483,712.133667,1
-27.3506622,737.7989,1
-27.0582485,693.708,1
-26.9751759,680.4563,1
-26.9411278,728.778137,1
-26.6241283,674.2664,1
-26.2228718,739.8008,1
-25.46821,684.8558,1
-25.303,735.606262,1
-25.2836571,714.4439,1
-25.08716,777.1706,1
-25.05334,784.4954,1
-24.8826828,716.280762,1
-24.7627468,703.3777,1
-24.325098,749.134,1
-24.3180141,693.849365,1
-24.26086,642.501,1
-23.9737778,762.0269,1
-23.9354229,743.9742,1
-23.9040833,656.9855,1
-23.71042,759.083435,1
-23.3877926,679.590454,1
-22.8435116,721.917236,1
-22.4080772,660.251831,1
-22.348175,701.675659,1
-22.1995754,753.6078,1
-21.962101,703.9248,1
-21.5912418,707.3498,1
-21.5789547,724.065,1
-21.5446949,666.2837,1
-21.42412,715.7196,1
-21.3178749,691.6928,1
-21.2328129,729.3417,1
-21.2040882,717.8933,1
-21.0538216,705.245,1
-21.0255051,777.308,1
-20.97599,726.077148,1
-20.744545,745.1792,1
-20.6297626,753.1324,1
-20.5742626,797.245,1
-20.4620037,808.9622,1
-20.4549732,682.104736,1
-20.4505882,690.5582,1
-20.37154,716.904053,1
-20.19985,700.349243,1
-20.1769466,764.2964,1
-19.96002,716.335266,1
-19.7986526,754.3439,1
-19.6525364,706.0073,1
-19.5937424,786.43335,1
-19.4527664,684.4828,1
-19.4282055,716.623047,1
-19.4120045,762.5267,1
-19.3571835,759.4324,1
-19.3075924,720.8614,1
-19.2795238,777.053345,1
-19.2748718,743.4685,1
-19.2116947,693.8657,1
-19.1695461,716.0536,1
-19.0688972,696.655457,1
-18.994091,711.0159,1
-18.8034878,692.6028,1
-18.7878551,680.563965,1
-18.7342072,697.529541,1
-18.6638279,669.2287,1
-18.6571312,743.973145,1
-18.5875168,725.9401,1
-18.5671177,756.5521,1
-18.5473175,688.654968,1
-18.4987125,683.2322,1
-18.4319572,641.483459,1
-18.2970676,732.7666,1
-18.17975,669.8989,1
-18.068718,749.1372,1
-18.0153255,714.084534,1
-17.9651756,678.3559,1
-17.9431324,675.8415,1
-17.93239,715.2118,1
-17.5649166,766.257751,1
-17.4742126,714.0507,1
-17.3258533,747.3014,1
-17.29271,722.306763,1
-17.26533,695.765869,1
-17.2482662,632.845459,1
-17.1592274,740.2765,1
-17.1589088,748.9618,1
-17.1320877,642.17395,1
-17.1068783,693.5374,1
-17.091116,718.3081,1
-16.8862228,706.123169,1
-16.8228588,753.8575,1
-16.81029,723.613464,1
-16.7842255,695.147461,1
-16.7518425,676.9804,1
-16.6819572,741.641968,1
-16.62333,684.57074,1
-16.56688,725.5616,1
-16.53657,776.1595,1
-16.52761,722.139038,1
-16.4739876,678.6759,1
-16.35634,700.9756,1
-16.2315521,704.3284,1
-16.22454,716.959167,1
-16.2053928,731.1831,1
-16.1628838,664.805542,1
-16.13737,696.4803,1
-16.035099,707.835266,1
-16.02093,771.3886,1
-15.9894009,702.9396,1
-15.9480057,681.7208,1
-15.928071,721.440735,1
-15.8636456,715.981,1
-15.7869558,659.2999,1
-15.7432041,719.2309,1
-15.6733093,730.465149,1
-15.668293,684.8745,1
-15.62101,699.2961,1
-15.5937939,702.7221,1
-15.49419,737.1171,1
-15.4470482,717.5608,1
-15.3301773,661.124634,1
-15.26014,687.4846,1
-15.0942822,629.935,1
-14.9915485,706.2597,1
-14.964922,699.3958,1
-14.9158421,661.9287,1
-14.84965,740.100952,1
-14.8407907,742.343567,1
-14.8108807,707.2991,1
-14.7993612,735.6805,1
-14.7139406,665.2325,1
-14.7062712,709.4704,1
-14.6777792,726.3293,1
-14.6747189,688.2724,1
-14.5984583,721.990845,1
-14.5771236,683.851746,1
-14.5620251,661.01,1
-14.5525026,692.8506,1
-14.3780994,692.0412,1
-14.3724127,746.8793,1
-14.2572794,705.3193,1
-14.2504578,765.49884,1
-14.1602173,717.679932,1
-14.1178589,754.7601,1
-14.1079063,751.4404,1
-14.0899429,755.800537,1
-14.0534992,756.4328,1
-14.0138588,676.1461,1
-13.8813734,657.391846,1
-13.7699814,725.4573,1
-13.7693319,677.424133,1
-13.6359758,787.7128,1
-13.6319046,722.467957,1
-13.5312805,735.2427,1
-13.4757481,647.9385,1
-13.4714823,687.251,1
-13.4419661,729.9263,1
-13.4267235,749.0059,1
-13.3871851,724.9392,1
-13.3647432,779.8334,1
-13.3543,750.2164,1
-13.3527966,728.116943,1
-13.3328476,714.615356,1
-13.2198038,683.2418,1
-13.1883478,629.4137,1
-13.1525145,690.6751,1
-13.1333055,672.5104,1
-13.1192551,702.8243,1
-13.0165339,724.942932,1
-12.9823484,798.889038,1
-12.9725323,737.8485,1
-12.9661531,700.6883,1
-12.9129753,717.050964,1
-12.8881531,669.2934,1
-12.8742561,731.0683,1
-12.7494555,658.850342,1
-12.6782427,677.941162,1
-12.5207586,693.98645,1
-12.520649,705.447449,1
-12.4923458,660.6576,1
-12.4834852,678.895264,1
-12.2806234,735.7233,1
-12.1705,730.0728,1
-12.1437283,680.5635,1
-12.1130047,729.14386,1
-12.1081047,756.865234,1
-12.0585079,751.269,1
-11.960989,704.4061,1
-11.7995338,615.2742,1
-11.7556982,677.6187,1
-11.6721106,715.262634,1
-11.6414871,682.7817,1
-11.6331854,737.7397,1
-11.630497,756.7964,1
-11.55136,693.7125,1
-11.54123,700.5006,1
-11.5184612,697.775146,1
-11.469739,747.5988,1
-11.4435844,699.9812,1
-11.4184685,737.56366,1
-11.3754539,736.180542,1
-11.36736,692.199951,1
-11.2941217,701.759949,1
-11.2849712,654.7362,1
-11.222374,735.715637,1
-11.191721,703.311768,1
-11.1680937,687.333862,1
-11.1397381,686.1258,1
-11.0773115,710.6521,1
-11.0384035,693.072632,1
-11.0206757,721.9477,1
-11.00574,714.03894,1
-10.9341354,732.8414,1
-10.8971891,695.0939,1
-10.889657,700.309143,1
-10.8497524,722,1
-10.8119812,744.6086,1
-10.7704363,710.504333,1
-10.7551,688.223938,1
-10.7441874,712.1471,1
-10.7434177,674.09314,1
-10.7246523,697.9657,1
-10.7229919,683.937561,1
-10.7021036,734.7375,1
-10.6164465,660.3031,1
-10.5580473,737.86554,1
-10.4961128,694.252,1
-10.4729691,692.379639,1
