Ch1 Amplitude,Ch2 Amplitude,Cluster
-51.16082,758.512268,1
-43.80733,732.7292,1
-37.85794,681.169434,1
-37.033577,721.300964,1
-36.4718781,652.7387,1
-35.4327469,684.5848,1
-35.2562637,659.7202,1
-35.0611458,678.7652,1
-34.7938,713.3045,1
-33.04892,783.3492,1
-33.0107269,632.579163,1
-32.8246727,710.1983,1
-31.806118,663.332031,1
-31.2608547,653.161,1
-31.2578,712.7811,1
-31.0626869,685.1605,1
-31.0399189,659.9886,1
-30.8753128,660.8582,1
-30.7890911,725.6046,1
-30.3637123,661.267944,1
-29.7580986,665.141846,1
-29.6266346,653.831238,1
-28.9752,666.3363,1
-28.6883945,679.884033,1
-28.54224,702.518555,1
-28.3791485,638.773743,1
-28.1455479,650.538757,1
-28.00273,667.4834,1
-27.9834538,709.361938,1
-27.9805851,688.9084,1
-27.945,671.274353,1
-27.8539448,679.151855,1
-27.69431,624.828857,1
-27.5613041,716.2583,1
-27.1395741,677.989,1
-27.1143646,684.6835,1
-26.90197,680.8503,1
-26.768425,708.670349,1
-26.7626858,649.4503,1
-26.5245838,660.545532,1
-26.31248,694.6859,1
-26.0775928,749.2394,1
-25.9733429,685.8866,1
-25.903019,649.7635,1
-25.8227062,686.7671,1
-25.76728,678.8526,1
-25.7473469,680.697937,1
-25.7089,695.7868,1
-25.499876,740.054138,1
-25.3966732,731.8111,1
-25.0475426,685.889465,1
-25.0141068,654.172,1
-24.8783436,711.8121,1
-24.7847862,670.7022,1
-24.483675,665.5278,1
-24.3876972,667.9878,1
-24.3552227,721.7137,1
-24.3470364,710.0621,1
-24.3145084,697.3205,1
-24.2710781,755.7373,1
-24.2004757,685.6362,1
-24.0863075,681.099548,1
-23.8368359,734.9753,1
-23.8330231,594.3624,1
-23.70839,742.1239,1
-23.5986156,657.711,1
-23.5874538,703.7463,1
-23.5731449,673.768738,1
-23.3702812,718.781067,1
-23.1125,706.346069,1
-23.0096989,706.440857,1
-22.9617882,655.886047,1
-22.90418,674.2951,1
-22.80037,699.9157,1
-22.7418575,663.1987,1
-22.4625626,676.0369,1
-22.3959789,648.846069,1
-22.2313614,697.374756,1
-22.1122379,780.749451,1
-22.02022,687.8572,1
-21.88005,754.8907,1
-21.8521919,695.1297,1
-21.7610741,634.804932,1
-21.6695976,637.8167,1
-21.6560268,697.327759,1
-21.6538124,636.015869,1
-21.6241951,720.3764,1
-21.6116543,663.3171,1
-21.6066189,689.2895,1
-21.56846,672.493469,1
-21.4659176,737.277161,1
