Ch1 Amplitude,Ch2 Amplitude,Cluster
-48.6221733,678.085938,1
-41.9279671,654.114441,1
-39.6342239,750.376,1
-39.25611,613.7878,1
-38.91915,761.3322,1
-38.38081,692.470032,1
-38.139,655.57074,1
-37.70384,676.6409,1
-37.0126572,721.2113,1
-36.9006538,630.944153,1
-36.5366669,670.629761,1
-36.48123,718.8069,1
-36.3749657,667.930664,1
-36.36007,677.416443,1
-34.374012,714.0986,1
-33.72422,696.6459,1
-33.5936165,693.9572,1
-33.560688,656.6242,1
-33.2053642,721.342346,1
-33.1438522,759.0006,1
-33.0450974,628.364868,1
-31.7489071,655.2469,1
-31.7251625,733.2819,1
-31.7003231,675.247559,1
-31.4187126,637.1293,1
-31.32154,676.8746,1
-30.7871552,674.355347,1
-30.6841373,709.684631,1
-30.6821079,689.683044,1
-30.6746483,736.2263,1
-30.40443,609.6155,1
-30.222187,687.5456,1
-29.9583416,651.201538,1
-29.9198284,746.9488,1
-29.8977928,716.1818,1
-29.76752,674.528259,1
-29.5511589,652.439148,1
-29.1972446,661.182556,1
-29.0677319,678.854,1
-29.0523376,716.8429,1
-29.0115128,695.135742,1
-28.9564362,702.573547,1
-28.9541225,658.844,1
-28.88615,697.9172,1
-28.7296658,699.037231,1
-28.5842419,694.1298,1
-28.5245838,669.354553,1
-28.5189,643.5219,1
-28.46516,728.005554,1
-28.3916874,605.695,1
-28.340807,715.689,1
-28.1995125,647.4839,1
-28.1249962,663.2362,1
-28.0401745,630.488342,1
-28.0383816,622.9548,1
-28.0020447,671.6936,1
-27.9076214,702.7443,1
-27.8770237,744.100159,1
-27.784586,639.067749,1
-27.600462,719.7107,1
-27.51212,718.897339,1
-27.4885979,692.476257,1
-27.4481163,661.827637,1
-27.40858,716.3047,1
-27.3630161,622.985046,1
-27.3399734,655.7701,1
-27.3379364,620.5918,1
-27.1106682,681.5441,1
-27.03697,649.248,1
-26.935442,689.0253,1
-26.901022,659.6808,1
-26.8262482,669.5465,1
-26.8204765,691.414,1
-26.7421989,672.739,1
-26.7103577,639.4532,1
-26.6924171,692.13,1
-26.3940067,722.0529,1
-26.3636684,670.904236,1
-26.3587379,658.2768,1
-26.2485428,660.266,1
-26.21122,753.6184,1
-26.1109562,629.9707,1
-26.0614185,704.0755,1
-25.9396839,630.1257,1
-25.9377289,645.56366,1
-25.9067,742.6826,1
-25.8672352,671.327759,1
-25.8450947,677.1423,1
-25.8358364,667.836365,1
-25.8145275,634.0635,1
-25.5629253,651.784058,1
-25.4342442,674.9511,1
-25.3567028,658.4245,1
-25.3539238,663.954163,1
-25.1602173,695.9191,1
-25.0635071,692.5723,1
-25.0002651,702.0488,1
-24.9654713,696.631958,1
-24.6659126,655.94,1
-24.5522251,645.1642,1
-24.50436,636.572449,1
-24.4951553,697.9332,1
-24.3898125,640.8891,1
-24.3489285,716.76416,1
-24.3456974,711.7512,1
-24.3315487,689.394165,1
-24.2107773,613.2616,1
-24.1378021,692.9109,1
-24.0888271,649.759,1
-24.0739841,680.2482,1
-24.0305634,663.0319,1
-24.013422,679.940552,1
-23.7206955,662.657654,1
-23.6708279,684.5221,1
-23.6635437,624.3532,1
-23.5388737,738.4796,1
-23.5329437,721.033142,1
-23.4118156,714.639832,1
-23.3829784,685.928,1
-23.331728,663.971436,1
-23.2680016,638.374634,1
-23.1609745,651.704163,1
-23.0884418,618.9904,1
-23.07888,687.1353,1
-22.9217319,689.9127,1
-22.8048515,771.6886,1
-22.7898731,895.3707,1
-22.7396927,643.117065,1
-22.5507813,715.527039,1
-22.4977474,643.4213,1
-22.4011765,720.6988,1
-22.323082,681.302734,1
-22.302021,606.2511,1
-22.2433662,683.528137,1
-22.18061,734.5954,1
-22.179718,660.0424,1
-22.17705,654.968262,1
-22.1583424,664.3037,1
-22.12535,628.726746,1
-22.0383034,616.0965,1
-21.97313,714.2299,1
-21.9352112,690.3305,1
-21.8926411,617.499268,1
-21.8834324,682.953247,1
-21.8783073,685.6471,1
-21.823082,707.4953,1
-21.7110481,654.9836,1
-21.6875782,687.3551,1
-21.5648174,622.037354,1
-21.4629116,675.8423,1
-21.4558449,733.4766,1
-21.4385586,715.363342,1
-21.3196468,603.456543,1
-21.1457958,667.4375,1
-21.14337,593.0268,1
-21.0647354,625.3913,1
-20.9234676,651.9396,1
-20.90914,602.534363,1
-20.90868,607.515564,1
-20.8346729,659.059143,1
-20.7579823,667.235962,1
-20.7109222,658.980469,1
-20.6721687,653.891052,1
-20.66181,754.989441,1
-20.6208572,640.412048,1
-20.53242,721.475342,1
-20.5152664,669.986755,1
-20.4554443,637.201538,1
-20.4466763,689.95636,1
-20.4385948,628.698853,1
-20.3961124,660.2831,1
-20.3484745,649.073059,1
-20.2755165,666.5446,1
-20.2437534,682.406555,1
-20.15935,647.944336,1
-20.0836163,684.499,1
-19.9376869,667.3878,1
-19.9110813,645.2948,1
-19.9079,608.099548,1
-19.8766327,735.2121,1
-19.8229351,630.9471,1
-19.7834969,616.253235,1
-19.7350254,655.293152,1
-19.6916142,633.572632,1
-19.6606464,672.580444,1
-19.6119537,681.465,1
-19.5421276,753.1243,1
-19.5300922,668.027161,1
-19.5230255,716.2233,1
-19.5191154,698.226,1
-19.430809,726.7994,1
-19.4294472,657.283936,1
-19.4163189,669.8229,1
-19.3773174,646.977234,1
-19.3455524,655.715332,1
-19.3113747,631.3714,1
-19.2910843,651.386,1
-19.2627449,651.326233,1
-19.2301178,633.6035,1
-19.2024879,649.3907,1
-19.1963177,670.112549,1
-19.1603889,758.3736,1
-19.1570454,657.7324,1
-19.1452084,645.135864,1
-19.1338634,666.36676,1
-19.0519066,662.8003,1
-19.004694,632.524963,1
-18.9941559,686.197,1
-18.9838448,672.9824,1
-18.9605045,639.9382,1
-18.8911972,673.555542,1
-18.8630486,623.6146,1
-18.8068447,658.9167,1
-18.7725163,698.950439,1
-18.7211876,707.0791,1
-18.7091217,638.4806,1
-18.7016964,691.7703,1
-18.68848,666.021,1
-18.680645,641.7709,1
-18.6679764,697.4301,1
-18.65563,694.8161,1
-18.5862312,644.28656,1
-18.46633,664.839233,1
-18.4584942,637.1627,1
-18.4521484,705.104248,1
-18.4430046,667.0346,1
-18.4429855,643.3356,1
-18.40449,680.2015,1
-18.3514633,673.4015,1
-18.32445,667.895752,1
-18.29828,632.4729,1
-18.287653,656.564941,1
-18.2635422,675.6385,1
-18.2359867,643.4508,1
-18.2263317,690.789856,1
-18.22245,675.419556,1
-18.2202835,679.6374,1
-18.2115173,652.0612,1
-18.1054115,679.1449,1
-18.0967274,625.1647,1
-18.0588036,607.5171,1
-18.0215855,632.5723,1
-18.00244,696.360535,1
-17.99504,613.254761,1
-17.9890957,619.058044,1
-17.9281178,667.1683,1
-17.87775,650.7212,1
-17.8220615,662.615845,1
-17.75318,716.114258,1
-17.716423,664.40155,1
-17.6968479,609.622742,1
-17.6821041,628.8988,1
-17.6045,710.689,1
-17.5990562,712.9191,1
-17.595068,657.533142,1
-17.58207,792.750366,1
-17.5482082,679.211365,1
-17.5156,624.0516,1
-17.50753,667.0547,1
-17.464241,737.987244,1
-17.4570179,619.4997,1
-17.4274559,641.405151,1
-17.4244518,700.522644,1
-17.40227,670.767,1
-17.359642,642.9287,1
-17.3272152,665.9172,1
-17.3087711,672.419067,1
-17.2648087,747.782043,1
-17.2303963,639.105469,1
-17.1231041,711.2528,1
-17.0335255,669.18866,1
-17.01873,650.086,1
-17.0162659,721.066345,1
-17.0040588,680.2294,1
-16.9932117,724.2121,1
-16.9640656,693.424438,1
-16.9588852,677.2951,1
-16.9575119,650.063,1
-16.9464035,679.799561,1
-16.9041977,657.722656,1
-16.8923836,699.9875,1
-16.8719959,676.2738,1
-16.8602467,706.1969,1
-16.78974,643.9077,1
-16.7892838,667.670654,1
-16.7363033,641.0872,1
-16.7289829,704.6164,1
-16.72253,691.766968,1
-16.70858,646.8869,1
-16.7075977,622.2627,1
-16.6567211,655.089844,1
-16.6479321,680.1084,1
-16.5787144,644.4103,1
-16.5674057,636.850037,1
-16.5602436,616.033,1
-16.5515575,686.445068,1
-16.546751,666.713562,1
-16.5350971,649.8908,1
-16.5316029,722.5611,1
-16.5274525,788.598633,1
-16.5078144,650.238464,1
-16.4950981,784.1733,1
-16.4660282,742.1889,1
-16.420248,669.357,1
-16.3888283,691.8247,1
-16.3690357,686.822937,1
-16.3494911,660.106,1
-16.3349857,704.45636,1
-16.3187389,679.096863,1
-16.3171425,610.0282,1
-16.31487,676.175842,1
-16.3120251,602.359131,1
-16.3038654,687.056946,1
-16.21304,600.608,1
-16.1924515,591.5814,1
-16.1924038,681.465332,1
-16.1785,688.1118,1
-16.1779881,608.4338,1
-16.0995731,669.003235,1
-16.096653,619.0959,1
